,product,level_1,level_2,target,,,
12461,Áo BBD Bèo Kẻ,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Cà phê,10
14881,Áo thô tay bèo màu xanh size 100,Thời trang - Phụ kiện,Thời trang nữ,Áo thun nữ,,Cài Áo,10
2081,SOMI 1N2187BT4/Sn4V,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Cá hộp,10
2761,Áo sơmi giãn tdài HVy,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,"Cây, hoa trang trí",10
4301,Áo sơ mi gân cổ nhúng,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Dung dịch vệ sinh nam nữ,10
4681,Smi trắng_v.anh,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Dung dịch vệ sinh nhà tắm,10
4861,áo sơ mi trắng tay dài nút trắng,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,"Dây chuyền, vòng cổ, mặt dây chuyền nữ",10
6541,sơ mi POLO chấm bi xanh đen,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Dép nam,10
6861,AN107 - Áo kiểu sơ mi cao cấp có cổ phối hoa văn thân có hoa tiết sang trọng,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Dưỡng Thể,10
7141,sơ mi zara trắng vnxk dư,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Dưỡng trắng,10
7881,Áo sơmi sọc linen YTH nhập BT,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,"Dưỡng tóc, ủ tóc",10
1481,Bộ SL61 thun ko gọng xanh navy B75,Thời trang - Phụ kiện,Thời trang nữ,Áo ngực,,Dưỡng ẩm,10
1441,ÁO 3 LỖ OLD NAVY,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Dầu ăn,10
2141,Phông bulon,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Dụng cụ cạo râu,10
2521,RETA TOP - TRẮNG - M,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Dụng cụ diệt côn trùng khác,10
2721,Áo Gucci 6999 TA (892),Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Dụng cụ sửa chữa khác,10
2801,Levis Polos PB01,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Dụng cụ trang điểm,10
3481,ÁO NỈ BURLON RẮN VÀNG SIÊU CẤP,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Dụng cụ tẩy trang,10
3881,ÁO THUN CỔ TIM NAM,Thời trang - Phụ kiện,Thời trang nam,Áo thun nam,,Giày boots nữ,10
4921,Áo petrichor,Thời trang - Phụ kiện,Thời trang nam,Áo thun nam,,Giày cao gót,10
5101,Áo saiky 20W-9050,Thời trang - Phụ kiện,Thời trang nam,Áo thun nam,,Giày dép bé gái,10
7201,ÁO CỘC TAY GẤU TRÚC DOLCE,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Giày dép nam khác,10
16261,Set balo 4 món,Thời trang - Phụ kiện,"Balo, túi, cặp  & phụ kiện","Balo, túi, cặp & phụ kiện khác",,Giày dép nữ khác,10
2621,Balo ô trám GG,Thời trang - Phụ kiện,"Balo, túi, cặp  & phụ kiện","Balo, túi, cặp & phụ kiện khác",,Giày sneakers nam,10
5801,Balo cắt đầu nhà jacson,Thời trang - Phụ kiện,"Balo, túi, cặp  & phụ kiện","Balo, túi, cặp & phụ kiện khác",,Giày sneakers nữ,10
11041,Băng Sense Diana,Sức khỏe - Làm đẹp,Chăm sóc cá nhân,Băng vệ sinh,,"Giày, dép sandals nữ",10
11621,BVS Laurier hàng ngày phân tử bạc 2 tác động 18pcs,Sức khỏe - Làm đẹp,Chăm sóc cá nhân,Băng vệ sinh,,"Găng tay, bao tay nữ",10
11701,bvs sensi,Sức khỏe - Làm đẹp,Chăm sóc cá nhân,Băng vệ sinh,,Hộp + Thùng đựng thực phẩm,10
15861,BVS Diana,Sức khỏe - Làm đẹp,Chăm sóc cá nhân,Băng vệ sinh,,Kem - Thuốc đánh răng,10
1041,Bánh gạo One one vị bò,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,Khăn,10
8781,bánh que chấm socola Fran,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,Khăn giấy ăn,10
8981,Solite dứa 360g tròn,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,Khăn giấy ướt,10
9021,Túi bánh kem và trái cây,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,Kéo nhà bếp,10
9181,Bánh samlip vị phomai 50g,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,Kính áp tròng,10
9841,Bánh que chick stick 30g,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,Kẹp gắp,10
10081,Bánh Quy Kem Hương Vị Chuối,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,Linh kiện điện thoại,10
10601,Bánh hộp Cookies Original Assort,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,Ly dùng một lần,10
10621,Bánh yến mạch sô túi đỏ 400g,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,Làm sạch da mặt,10
10701,Gery Cheese Cracker,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,"Lọ, Bình hoa trang trí",10
10841,Mochi 210g,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,Máy tính bảng,10
11081,BÁNH GẠO NGỌT 150 G,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,"Móc treo, kẹp quần áo",10
11341,Bánh Crich Bio Baby Biscuit 320g,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,"Móc treo, móc dán tường",10
12701,BÁNH QUY KEM GLICO VÀNG,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,Mũ nón Nam/Nữ,10
12721,banh rinny 38g,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,"Mũ, Nón nữ",10
14901,SOLITE BÔNG LAN CUỘN DỨA HỘP 180G,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,"Mũ, nón nam",10
18701,Banh bo trung tra xanh 150g,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,Mắt kính khác,10
18821,Bánh màn thầu Haitai hấp 400g 해태 쫄깃한 물만두,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,"Ngũ cốc, bột pha chế",10
18941,Bánh Ritz Salt & Vinegar 201g,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,Nhẫn nam,10
19581,Bánh Trung Gian PAG,Thực phẩm - Đồ uống,Bánh kẹo,Bánh,,Nhẫn nữ,10
12061,Bánh tráng hủ,Thực phẩm - Đồ uống,Thực phẩm khô,"Bánh tráng, bánh phở, bánh đa, bún khô",,"Nước hoa hồng, toner",10
19921,Bộ Set bật lửa Zippo và bút Z114,Thực phẩm - Đồ uống,Thuốc lá,"Bật lửa, diêm",,Nước hoa nữ,10
12121,Bud 1 LON,Thực phẩm - Đồ uống,Đồ uống có cồn,Bia,,Nước rửa chén,10
841,Bình nước smiggle hình thú nhựa xanh quai đeo uc,Đồ gia dụng,Đồ dùng phòng ăn,Bình đựng nước,,Nước rửa tay,10
9621,Bình nước trẻ em pegion nhật hồng,Đồ gia dụng,Đồ dùng phòng ăn,Bình đựng nước,,Nước tẩy giặt ủi,10
2661,Hoa Tai Nickel Free,Thời trang - Phụ kiện,Trang sức nữ,Bông tai nữ,,Nến trang trí,10
19941,bông tai 330,Thời trang - Phụ kiện,Trang sức nữ,Bông tai nữ,,"Nồi, bộ nồi và phụ kiện",10
881,Cốc nước Tự Khoáy Ko Cần Thìa,Đồ gia dụng,Đồ dùng phòng ăn,Ca đựng nước,,"Phô mai, bơ",10
7021,Cafe,Thực phẩm - Đồ uống,Đồ uống - Pha chế,Cà phê,,"Phụ kiện balo, túi, cặp",10
11441,NES - CAFE HOP XANH - 16x10x24,Thực phẩm - Đồ uống,Đồ uống - Pha chế,Cà phê,,"Phụ kiện dệt, may, thêu",10
19021,Cafe Arch sầu riêng (vàng),Thực phẩm - Đồ uống,Đồ uống - Pha chế,Cà phê,,Phụ kiện điện thoại khác,10
12581,HỘP HOA HỒNG SÁP 18 BÔNG( HỒNG) 3 MÀU KT- HỒNG,Đồ gia dụng,Trang trí nhà cửa,"Cây, hoa trang trí",,Phụ kiện đèn,10
18721,Cúc lưới - vườn,Đồ gia dụng,Trang trí nhà cửa,"Cây, hoa trang trí",,Pin sạc dự phòng,10
16001,0745 đá đính nail rainbow nhiều mẫu set 10 hạt,Sức khỏe - Làm đẹp,Trang điểm,Chăm sóc móng,,Quần jean nữ,10
12641,Chải bé mỹ nguyên,Sức khỏe - Làm đẹp,Chăm sóc cá nhân,Bàn chải đánh răng,,Quần legging nữ,10
4361,nhũ mắt,Sức khỏe - Làm đẹp,Trang điểm,Trang điểm mắt,,Quần nữ khác,10
241,Chân váy jeans kèm quần chip,Thời trang - Phụ kiện,Thời trang nữ,Chân váy,,Quần shorts nam,10
341,Chăn Nanara,Đồ gia dụng,Đồ dùng phòng ngủ,"Chăn, mền và phụ kiện",,Quần shorts nữ,10
3021,Ra phủ 1m8 345,Đồ gia dụng,Đồ dùng phòng ngủ,"Chăn, mền và phụ kiện",,"Quần thun, jogger nữ",10
13261,Bộ chảo WMF 24+28cm,Đồ gia dụng,Đồ dùng phòng bếp,"Chảo, chảo chống dính",,Quần tây nam,10
12841,chieu tre,Đồ gia dụng,Đồ dùng phòng ngủ,Chiếu,,"Quần áo, Dép nhà tắm",10
821,Váy Phông 185M-L-XL,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,"Rau ăn củ, quả",10
1081,VÁY KẺ NHÍ KÈM YẾM,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Rau ăn lá,10
1221,"Váy vải, tà xếp ly, kèm tag nơ bự",Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Rau ăn thân,10
1421,Đầm Thun Ôm Đuôi Cá ANN953L,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Rượu mạnh,10
1501,Váy tay dơi đai đen,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Rượu vang,10
1641,Đầm kiểu nữ SN C8129 size M,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Sim & thẻ cào,10
1961,Đầm polo caro Honeydays,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Siro pha chế,10
2001,váy đai bi đỏ,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Snack,10
2461,Đầm xanh đen trái ớt tay lưới,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Socola,10
2681,váy bánh bèo qc cao cấp 185,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,"Sơn, dầu mỡ, hóa chất",10
2741,đầm ren đỏ 2s,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,"Sạc điện thoại, máy tính bảng",10
3201,Váy maxi cotton in chữ,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Sản phẩm chăm sóc cá nhân khác,10
3241,Đầm xòe jean cài nút,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Sản phẩm chăm sóc cơ thể khác,10
3381,váy zen cc,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Sản phẩm chăm sóc da khác,10
3741,ĐẦM D429,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Sản phẩm chăm sóc tóc khác,10
3781,Váy phông trắng cổ bẻ miu2 ngực con mèo,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Sản phẩm chống nắng và phục hồi,10
3921,REDVELVET CHECK DRESS,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Sản phẩm tinh dầu,10
4161,SC039 - BM1 (17) LSC eo bản to phối 3 nút màu đậm,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Sản phẩm trị mụn,10
4781,ĐẦM BV HỒNG MAXI,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Sản phẩm từ sữa khác,10
5041,Đầm mèo 🐱 mắt kính 🕶,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,"Sản phẩm, dụng cụ tẩy lông",10
5221,Đầm Cánh Tiên Ren,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Sữa bột,10
5521,Đầm Mine sọc thun phối ren,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Sữa chua,10
5661,Váy Xòe Đai 360,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,"Sữa tắm, xà bông, muối tắm",10
5861,Váy cổ yếm đính hoa 420,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Sữa đặc,10
6261,đầm gân mango kèm đai,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,"Thau, chậu, ca nước nhà tắm",10
6361,Đầm body gần tay lỡ 907 [Đen],Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Thiết bị chiếu sáng khác,10
6821,VÁY BOOHOO ĐỎ 2 DÂY KHUY NGỰC DỌC CHÂN XẺ 8,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,"Thuốc duỗi, uốn",10
7401,Váy Yếm Gap Kids,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Thuốc lá,10
7641,ĐẦM 2S CÚP ĐAN EO ĐEN,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Thuốc nhuộm tóc,10
8041,đầm thun đen chữ suông chân ren lưới,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Thạch rau câu,10
8361,Đầm babydoll thêu hoa QC,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,Thảm chùi chân,10
8541,Đầm ( T&heH9QA),Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,"Thắt lưng, dây nịt nam",10
8581,Đầm vàng bull&bear 210,Thời trang - Phụ kiện,Thời trang nữ,Đầm nữ,,"Thắt lưng, dây nịt nữ",10
10901,DA Simply 2L,Thực phẩm - Đồ uống,Gia vị,Dầu ăn,,Thịt gia cầm,10
4481,Dầu cặp TiGi,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,Thời trang - Phụ kiện Nam/nữ khác,10
8741,DAU XA TRESEMME THAI DETOX SALON,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,Thời trang - phụ kiện cho bé không phân biệt giới tính,10
8761,DG huong mau don 650g,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,Thủy - Hải sản,10
9061,xả hygiene 1.8L túi,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,Thủy - Hải sản khô,10
9721,Dầu gội Clear thảo dược cho da dầu yếu 180g,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,Thủy - Hải sản đông lạnh,10
9941,DOVE xả 330ml,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,Thực phẩm chức năng khác,10
10981,DX Rejoice 170ml Dưỡng Ẩm Mềm Mượt,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,Thực phẩm chức năng sức khỏe,10
11121,DG chống rụng tóc Biotin & collagen 385ml,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,Thực phẩm đã qua chế biến khác,10
11461,Dầu xả phục hồi và bảo vệ tóc SALON LINK 1000ml,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,Trang trí nhà cửa khác,10
12361,DGĐ Xmen Wood 650g,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,Trang điểm khác,10
12381,XP Enchenter tím 90g,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,Trang điểm mặt,10
16181,Bộ Gội Xả Tsubaki #Xanh,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,Trà,10
17501,Dầu gội Clear gói 6g,Sức khỏe - Làm đẹp,Chăm sóc tóc và da đầu,"Dầu gội, dầu xả",,Tua vít,10
19741,Đèn dầu đỏ VQ,Đồ gia dụng,Đồ thờ cúng,Đèn thờ dầu,,"Tô, chén. đĩa",10
16041,đĩa đèn,Sức khỏe - Làm đẹp,Tinh dầu spa,Đèn xông tinh dầu spa,,Túi tote nữ,10
11221,Dép Hollister Mix 130,Thời trang - Phụ kiện,"Giày, dép nam",Dép nam,,Túi xách công sở nam,10
14021,Y 5 2017 VÀNG,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,"Túi đeo chéo, túi đeo vai nữ",10
5141,Iphonexr,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,"Túi, màng đựng thực phẩm",10
13181,6S 16GB SILVER,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,Tượng Phật,10
13781,Iphone 6 32G Gold VN/A Full box,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,"Tất, vớ nam",10
13841,iPhone 6s Plus 32G (Gray),Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,"Tất, vớ nữ",10
13881,6s 32 lock 19/3/2019,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,"Tẩy tế bào chết, massage",10
14441,Iphone 6S Grey 16G 99% 338495,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,Vali,10
14801,Máy IP6S Plus (64GB),Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,"Vá, sạn, vợt",10
14741,OPPO A3S (32G) TÍM ĐEN,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,"Váy chống nắng, khẩu trang",10
13561,ss j7+ ( c710),Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,Ví nữ,10
13921,SS J7 PRO GOLD,Điện thoại - Máy tính bảng,Điện thoại,Điện thoại,,"Vòng, lắc tay, lắc chân nữ",10
9521,Quần bơi Nam,Thời trang - Phụ kiện,Thời trang nam,Đồ bơi nam,,Vải,10
2381,Tam bong goi,Đồ gia dụng,Đồ dùng nhà tắm,Đồ dùng nhà tắm khác,,"Áo cardigan, áo len, áo hoodie nữ",10
7621,Đựng xà phòng chiếc lá,Đồ gia dụng,Đồ dùng nhà tắm,Đồ dùng nhà tắm khác,,Áo khoác nam,10
10121,bàn chải trẻ em hq,Sức khỏe - Làm đẹp,Chăm sóc cá nhân,Bàn chải đánh răng,,Áo khoác nữ,10
10641,Bàn chải Lipzo Wow,Sức khỏe - Làm đẹp,Chăm sóc cá nhân,Bàn chải đánh răng,,"Áo len, áo cardigan, áo hoodie nam",10
10921,BCĐR-360 Gol,Sức khỏe - Làm đẹp,Chăm sóc cá nhân,Bàn chải đánh răng,,Áo ngực,10
11861,Nước giặt spy hồng 5L 4c/th,Đồ gia dụng,Đồ dùng nhà tắm,"Nước giặt, nước xả",,Áo nữ khác,10
11881,Duck tẩy toilet 625ml,Đồ gia dụng,Đồ dùng nhà tắm,Dung dịch vệ sinh nhà tắm,,Áo sơ mi nam,10
17001,Bàn chải ĐR,Sức khỏe - Làm đẹp,Chăm sóc cá nhân,Bàn chải đánh răng,,Áo sơ mi nữ,10
17941,COMFORThnht.nhiênsofia hoa hồng 800ml/12chai,Đồ gia dụng,Đồ dùng nhà tắm,"Nước giặt, nước xả",,Áo thun nam,10
8961,Xốt Spaghetti nấm 370g,Thực phẩm - Đồ uống,Đồ hộp,Đồ hộp khác,,"Đinh, vít, nở",10
3261,Sip OW QL18205-NV,Thời trang - Phụ kiện,Thời trang nam,"Đồ lót, đồ ngủ nam",,Đèn thờ dầu,10
2201,Bộ lanh lửng mặc nhà Vicci BN096.11 họa tiết hoa sen trắng nền hồng,Thời trang - Phụ kiện,Thời trang nữ,Đồ ngủ nữ,,Đèn xông tinh dầu spa,10
3341,bộ lanh lửng xanh d bi,Thời trang - Phụ kiện,Thời trang nữ,Đồ ngủ nữ,,"Đũa, muỗng, nĩa",10
7041,pizama phi lua lung,Thời trang - Phụ kiện,Thời trang nữ,Đồ ngủ nữ,,Đồ bơi nam,10
8521,Bộ mặc nhà cotton củ hành carot M,Thời trang - Phụ kiện,Thời trang nữ,Đồ ngủ nữ,,Đồ bơi nữ,10
14781,Choàng ngủ hoa- VC134,Thời trang - Phụ kiện,Thời trang nữ,Đồ ngủ nữ,,Đồ dùng nhà tắm khác,10
7461,Coca_Tuyết,Thực phẩm - Đồ uống,Đồ uống - Giải khát,Đồ uống có gas,,"Đồ lót, đồ ngủ nam",10
10401,Pepsi lon vỉ 6,Thực phẩm - Đồ uống,Đồ uống - Giải khát,Đồ uống có gas,,Đồ ngủ nữ,10
8901,Nước Lựu HQ 180ml,Thực phẩm - Đồ uống,Đồ uống - Giải khát,Đồ uống không có gas,,Đồ uống có gas,10
9161,Sữa Lựu đỏ chai 150ml,Thực phẩm - Đồ uống,Sữa - Sản phẩm từ sữa,Sữa nước,,Đồ uống không có gas,10
10581,CAM LON MINUTE,Thực phẩm - Đồ uống,Đồ uống - Giải khát,Đồ uống không có gas,,Đồ uống pha chế khác,10
11601,Nước Cam HQ,Thực phẩm - Đồ uống,Đồ uống - Giải khát,Đồ uống không có gas,,Đồ vest nam,10
12301,Schweppes bitter lemon,Thực phẩm - Đồ uống,Đồ uống - Giải khát,Đồ uống không có gas,,Đồ vest nữ,10
19121,sấu.đường,Thực phẩm - Đồ uống,Đồ uống - Giải khát,Đồ uống không có gas,,Đồng hồ khác,10
661,Siro Prospan Úc 100ml,Thực phẩm - Đồ uống,Đồ uống - Pha chế,Siro pha chế,,Đồng hồ nam,10
1981,SET VEST NỮ XANH RÊU,Thời trang - Phụ kiện,Thời trang nữ,Đồ vest nữ,,Đồng hồ nữ,10
2581,Sét vest tay sẽ,Thời trang - Phụ kiện,Thời trang nữ,Đồ vest nữ,,Ống đũa,10
5261,Dong HỒ NAM JULIUS Han Quoc Day Thep JA-982 JU1231 (Bac),Thời trang - Phụ kiện,"Đồng hồ, mắt kính",Đồng hồ nam,,Ốp lưng máy tính bảng,10
1181,ĐỒNG HỒ OLYMPIA STAR OPA 58012-07DMSK (TRANG),Thời trang - Phụ kiện,"Đồng hồ, mắt kính",Đồng hồ khác,,Bàn chải đánh răng,11
6521,Đồng hồ Rolex-DH1131.2B-Nữ,Thời trang - Phụ kiện,"Đồng hồ, mắt kính",Đồng hồ nữ,,Băng vệ sinh,11
